Brand,OS,Processor,RAM_Size,RAM_Type,Storage_Size,Storage_type,MRP
Lenovo,Windows 11,Intel,8GB,DDR4,256GB,SSD,36990.0
Lenovo,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
ASUS,Windows 11,Intel,8GB,DDR4,512GB,SSD,32990.0
HP,Windows 10,AMD,8GB,DDR4,512GB,SSD,49990.0
ASUS,Windows 11,Intel,8GB,DDR4,512GB,SSD,49990.0
HP,Windows 11,Intel,8GB,DDR4,256GB,SSD,36990.0
DELL,Windows 11,Intel,8GB,DDR4,1TB,HDD,38990.0
RedmiBook,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
realme,Windows 10,Intel,8GB,DDR4,256GB,SSD,46990.0
ASUS,Windows 11,AMD,16GB,DDR4,512GB,SSD,44990.0
HP,Windows 11,AMD,8GB,DDR4,512GB,SSD,59990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,38705.0
ASUS,Windows 11,Intel,8GB,DDR4,256GB,SSD,32990.0
ASUS,Windows 11,AMD,8GB,DDR4,512GB,SSD,52990.0
acer,Windows 11,Intel,8GB,DDR4,256GB,SSD,29990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,196990.0
ASUS,Windows 11,Intel,8GB,DDR4,1TB,HDD,47990.0
ASUS,Windows 11,Intel,8GB,DDR4,512GB,SSD,45990.0
MSI,Windows 11,AMD,8GB,DDR4,512GB,SSD,47990.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,85990.0
APPLE,Mac ,M1,8GB,DDR4,256GB,SSD,88990.0
HP,Windows 11,Intel,8GB,DDR4,512GB,SSD,40990.0
Lenovo,DOS ,Intel,4GB,LPDDR4,256GB,HDD,19490.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,35590.0
HP,Windows 11,Intel,8GB,DDR4,512GB,SSD,65990.0
RedmiBook,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
Lenovo,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,196990.0
acer,Windows 11,Intel,16GB,DDR4,512GB,SSD,58990.0
realme,Windows 10,Intel,8GB,DDR4,256GB,SSD,46990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,38705.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,85990.0
acer,Windows 11,AMD,8GB,DDR4,256GB,SSD,24990.0
acer,Windows 11,AMD,8GB,DDR4,512GB,SSD,47990.0
ASUS,Windows 11,AMD,8GB,DDR4,512GB,SSD,73990.0
Lenovo,Windows 11,Intel,8GB,DDR4,512GB,SSD,53490.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,35590.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,150990.0
Lenovo,Windows 11,Intel,8GB,DDR4,512GB,SSD,51990.0
ASUS,Windows 11,Intel,16GB,DDR4,512GB,SSD,66990.0
Lenovo,Windows 11,Intel,8GB,DDR4,256GB,SSD,36990.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,194990.0
acer,Windows 11,AMD,16GB,DDR4,512GB,SSD,51990.0
HP,Windows 11,AMD,8GB,DDR4,256GB,SSD,25990.0
acer,Windows 11,AMD,8GB,DDR4,512GB,SSD,35990.0
ASUS,Windows 11,Intel,8GB,DDR4,512GB,SSD,43990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,44990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,64490.0
ASUS,Windows 11,Intel,8GB,DDR4,256GB,SSD,40990.0
ASUS,Windows 11,Intel,8GB,DDR4,512GB,SSD,38990.0
Lenovo,Windows 11,Intel,8GB,DDR4,256GB,SSD,36990.0
RedmiBook,Windows 11,Intel,8GB,DDR4,512GB,SSD,39990.0
HP,Windows 11,Intel,8GB,DDR4,512GB,SSD,58990.0
realme,Windows 10,Intel,8GB,DDR4,512GB,SSD,59990.0
acer,Windows 11,Intel,8GB,DDR4,512GB,SSD,47990.0
HP,Windows 11,AMD,8GB,DDR4,512GB,SSD,37499.0
ASUS,Windows 11,AMD,16GB,DDR5,1TB,SSD,196990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,38705.0
ASUS,Windows 10,AMD,8GB,DDR4,1TB,SSD,94990.0
ASUS,Windows 11,Intel,8GB,DDR4,512GB,SSD,32990.0
ASUS,Windows 11,AMD,16GB,DDR4,1TB,SSD,85990.0
Lenovo,Windows 11,AMD,8GB,DDR4,512GB,SSD,35590.0
ASUS,Windows 11,Intel,4GB,DDR4,256GB,SSD,23990.0
